Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
161;210475;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
162;222757;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
163;216046;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
164;209212;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
165;213590;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
166;221125;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
167;209883;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
168;212519;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
169;200076;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
170;197500;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
171;208611;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
172;199785;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
173;193282;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
174;202270;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
175;197731;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
176;203341;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
177;198192;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
178;200817;491266048;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
179;194775;491266048;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
180;199524;491266048;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
181;202089;491266048;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
182;214342;491266048;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
183;2589857;491266048;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
184;216927;491266048;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
185;203491;491266048;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
186;202300;491266048;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
187;196268;491266048;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
188;205435;491266048;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
189;201227;491266048;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
190;202600;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
191;1161539;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
192;215815;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
193;201598;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
194;187321;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
195;186259;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
196;185368;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
197;187953;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
198;194445;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
199;182562;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200;182722;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
201;191880;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
202;185127;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
203;192150;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
204;186379;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
205;189054;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
206;185208;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
207;183634;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
208;196699;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
209;185197;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
210;190597;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
211;183264;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
212;181550;491536384;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
213;5465199;492032000;10993664;432144384;5223866;1724894;763261;279956;0;0;0;0;0;0;0;7524;0;0;0;0;0;27;0;0;
214;221005;492032000;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
215;194225;492032000;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
216;189836;492032000;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
217;199384;492032000;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
