Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
119;201548;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
120;230853;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
121;217829;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
122;220113;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
123;231033;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
124;220463;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
125;220714;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
126;230663;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
127;238678;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
128;230843;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
129;223910;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
130;236744;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
131;241273;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
132;230121;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
133;234760;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
134;226034;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
135;236694;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
136;231133;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
137;235562;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
138;232366;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
139;235282;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
140;235391;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
141;240941;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
142;238727;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
143;1072451;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
144;264856;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
145;219011;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
146;222637;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
147;217678;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
148;231654;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
149;216616;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
150;217628;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151;227837;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
152;234319;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
153;219893;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
154;216286;490426368;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
155;587612;490696704;9723904;430874624;349846;0;0;0;0;0;0;0;0;0;0;13856;0;0;0;0;0;0;0;0;
156;228529;490696704;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
157;222537;490696704;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;282640;490696704;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;249958;490696704;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160;224240;490696704;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
161;225974;490696704;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
162;224491;490696704;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
