Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
13311,661931,608010240,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13312,3582990,608010240,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13313,1487339,608010240,26873856,718557184,771056,0,24747,0,0,0,0,0,0,1934,1728.0,3348.0,0.0,76.0,0.0,1.0
13314,2917862,608010240,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13315,742723,608010240,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13316,3613868,608010240,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13317,656321,608010240,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13318,3527625,608010240,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13319,655389,608010240,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13320,4277672,608010240,26877952,718561280,3474376,0,22883,0,0,0,0,0,0,1653,1728.0,3348.0,0.0,76.0,0.0,1.0
13321,1145518,608276480,26886144,718569472,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13322,2857669,608276480,26886144,718569472,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13323,666690,608276480,26886144,718569472,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13324,3528508,608276480,26886144,718569472,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13325,677631,608276480,26886144,718569472,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13326,3530040,608276480,26886144,718569472,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13327,1413862,608280576,26877952,718561280,581871,0,22712,0,0,0,0,0,0,1954,1728.0,3348.0,0.0,76.0,0.0,1.0
13328,3138455,608542720,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13329,804388,608538624,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
