Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,chunkX,chunkZ,active_logic,Chunks,players,duration,terrain_type
826321201.0,116396753622.0,592684532977664.0,1006569926656.0,1266203197345792.0,24984076978.0,499857.0,5022778518.0,0.0,8423516663.0,5020744.0,735346273.0,6991034275.0,6639565126.0,351375024.0,686147751.0,32191821.0,0.0,0.0,73278240.0,141976590.0,0.0,2746610.0,0.0,1744720.0,pareto-activeLogic_5-Layer_7x_6z_80p_120s.csv,21809,7,6,True,210,80,120,5-Layer
624940770.0,115373112532.0,733638190718976.0,1083226353664.0,1493392063750144.0,39856601761.0,577814.0,7344830735.0,0.0,17318933660.0,7531252.0,2145587214.0,13705682919.0,13106378529.0,599107596.0,1449767842.0,28704152.0,0.0,0.0,65406720.0,126725520.0,0.0,2146153.0,0.0,2043960.0,pareto-activeLogic_5-Layer_8x_6z_120p_120s.csv,17033,8,6,True,240,120,120,5-Layer
386391720.0,115704333615.0,669443347759104.0,565789937664.0,1355066177114112.0,54646851788.0,0.0,8987650977.0,0.0,25105293094.0,9293017.0,4245216901.0,18801794133.0,17980244319.0,821312544.0,2034933766.0,25885431.0,0.0,0.0,43929600.0,85113600.0,0.0,1441440.0,0.0,1830400.0,pareto-activeLogic_5-Layer_8x_6z_160p_120s.csv,11440,8,6,True,240,160,120,5-Layer
20988595.0,109694247172.0,49144932548608.0,46607724544.0,110302153461760.0,91184533964.0,5990285.0,4088159925.0,0.0,32076116284.0,14903979.0,772000988.0,28270112418.0,27084335014.0,1185444211.0,2999040273.0,7802146.0,0.0,0.0,2803200.0,5431200.0,0.0,98798.0,0.0,146000.0,pareto-activeLogic_5-Layer_8x_6z_200p_120s.csv,730,8,6,True,240,200,120,5-Layer
1217755903.0,116783818251.0,425048892436480.0,1765954613248.0,883224239255552.0,13387119945.0,656752.0,1995307511.0,0.0,3674416994.0,2631046.0,184490908.0,3149216365.0,2996811075.0,152345832.0,334833107.0,28076405.0,0.0,0.0,117761280.0,228162480.0,0.0,3862217.0,0.0,1226680.0,pareto-activeLogic_5-Layer_8x_6z_40p_120s.csv,30667,8,6,True,240,40,120,5-Layer
941104431.0,116207440675.0,692345121067008.0,1575250485248.0,1419529733095424.0,28615273301.0,756529.0,4571236861.0,0.0,7828321382.0,4301830.0,403570472.0,6726586858.0,6432616647.0,293890190.0,688599248.0,29474863.0,0.0,0.0,93761280.0,181662480.0,0.0,3076389.0,0.0,1953360.0,pareto-activeLogic_5-Layer_8x_6z_80p_120s.csv,24417,8,6,True,240,80,120,5-Layer
675168045.0,117149969072.0,816122574987264.0,1125200908288.0,1590842800091136.0,39078789551.0,0.0,7353234872.0,0.0,16956077650.0,6785337.0,1391717478.0,14028937724.0,13412205546.0,616584208.0,1519427031.0,30095714.0,0.0,0.0,78438240.0,151974090.0,0.0,2287782.0,0.0,2178840.0,pareto-activeLogic_5-Layer_9x_6z_120p_120s.csv,18157,9,6,True,270,120,120,5-Layer
70682381.0,112697477862.0,133973597753344.0,137314893824.0,279014614032384.0,91487821262.0,522230.0,6664084015.0,0.0,48825285544.0,18090270.0,2185013072.0,42237492349.0,40478102586.0,1758890390.0,4358821213.0,16661410.0,0.0,0.0,10169280.0,19702980.0,0.0,298495.0,0.0,376640.0,pareto-activeLogic_5-Layer_9x_6z_160p_120s.csv,2354,9,6,True,270,160,120,5-Layer
1099209993.0,116701517025.0,410730636582912.0,1580115779584.0,826748384911360.0,15726743134.0,0.0,2140110830.0,0.0,5753621720.0,3094500.0,514427782.0,4724370223.0,4524525731.0,199776648.0,507859514.0,30317412.0,0.0,0.0,124860960.0,241918110.0,0.0,3612875.0,0.0,1156120.0,pareto-activeLogic_5-Layer_9x_6z_40p_120s.csv,28903,9,6,True,270,40,120,5-Layer
781770352.0,117181451669.0,625571346034688.0,1217592205312.0,1223979812159488.0,30117839833.0,0.0,5037114574.0,0.0,13850143748.0,6422235.0,1305838563.0,11316944795.0,10833020077.0,483814006.0,1213864132.0,31111519.0,0.0,0.0,91812960.0,177887610.0,0.0,2656625.0,0.0,1700240.0,pareto-activeLogic_5-Layer_9x_6z_80p_120s.csv,21253,9,6,True,270,80,120,5-Layer
740832447.0,117205057641.0,470698118283264.0,889457885184.0,1464309730893824.0,21650781682.0,0.0,7164317196.0,0.0,224751156.0,1855591.0,238221.0,166260566.0,165586586.0,653700.0,517011.0,33271010.0,0.0,0.0,0.0,0.0,0.0,2072454.0,0.0,2794320.0,pareto-activeLogic_Empty_6x_6z_120p_120s.csv,23286,6,6,True,0,120,120,Empty
718824593.0,116709943405.0,612459223900160.0,935326240768.0,1845908111208448.0,26261914072.0,0.0,9294462835.0,0.0,99426397.0,2064362.0,217247.0,79539096.0,79316899.0,200589.0,302017.0,30051771.0,0.0,0.0,0.0,0.0,0.0,1921154.0,0.0,3453760.0,pareto-activeLogic_Empty_6x_6z_160p_120s.csv,21586,6,6,True,0,160,120,Empty
452085297.0,116374855828.0,552515225849856.0,722303516672.0,1651094815252480.0,37577679588.0,337062.0,11354633670.0,0.0,480406771.0,3779774.0,408320.0,304910282.0,295071437.0,9795672.0,9798400.0,29210356.0,0.0,0.0,0.0,0.0,0.0,1366172.0,0.0,2956400.0,pareto-activeLogic_Empty_6x_6z_200p_120s.csv,14782,6,6,True,0,200,120,Empty
1024300462.0,116634421829.0,213016259112960.0,1328123252736.0,677570192445440.0,9813672075.0,0.0,1808929078.0,0.0,27327661.0,1149055.0,134720.0,24030121.0,23944456.0,73981.0,204612.0,32017480.0,0.0,0.0,0.0,0.0,0.0,2930948.0,0.0,1317280.0,pareto-activeLogic_Empty_6x_6z_40p_120s.csv,32932,6,6,True,0,40,120,Empty
867128336.0,117004089255.0,370327168311296.0,1202708549632.0,1166457820954624.0,15424768163.0,0.0,4094262538.0,0.0,37256569.0,1463076.0,172191.0,24582953.0,24469776.0,100978.0,262981.0,33784869.0,0.0,0.0,0.0,0.0,0.0,2495293.0,0.0,2242960.0,pareto-activeLogic_Empty_6x_6z_80p_120s.csv,28037,6,6,True,0,80,120,Empty
