Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
19173,6649992,13307011072,39739392,43521720320,2398488,0,799670,0,0,0,0,0,0,0,0,5300,0,0,0.0,89.0,0.0,90.0
19174,4663526,13320658944,39743488,43572056064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19175,3846333,13320658944,39743488,43572056064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19176,2907462,13320658944,39743488,43572056064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19177,6483880,13320884224,39743488,43572056064,2565431,0,800712,0,0,0,0,0,0,0,0,5269,0,0,0.0,89.0,0.0,90.0
19178,3945629,13325078528,39743488,43588833280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19179,3771132,13325078528,39743488,43588833280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19180,2994646,13325094912,39735296,43588825088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19181,6335251,13329555456,39735296,43605602304,2488307,0,802094,0,0,0,0,0,0,0,0,5029,0,0,0.0,89.0,0.0,90.0
19182,4399441,13323014144,18518016,43584385024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19183,3787734,13323014144,18518016,43584385024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19184,5529069,13323014144,18518016,43584385024,2526458,0,794140,0,0,0,0,0,0,0,0,4759,0,0,0.0,89.0,0.0,90.0
19185,4283092,13323272192,18518016,43584385024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19186,2565010,13327466496,18518016,43601162240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19187,3774549,13327466496,18518016,43601162240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19188,2850416,13327466496,18518016,43601162240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19189,6161135,13327990784,18518016,43601162240,2301967,0,788569,0,0,0,0,0,0,0,0,4799,0,0,0.0,89.0,0.0,90.0
19190,4867278,13336915968,39739392,43639160832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19191,1336126,13336915968,39739392,43639160832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19192,3775450,13336915968,39739392,43639160832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19193,5631320,13336915968,39739392,43639160832,2517692,0,808526,0,0,0,0,0,0,0,0,5320,0,0,0.0,89.0,0.0,90.0
19194,4456708,13337653248,39739392,43639160832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19195,3563774,13342912512,39739392,43655938048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19196,3833068,13342912512,39739392,43655938048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19197,5623446,13343162368,39735296,43655933952,2520928,0,805521,0,0,0,0,0,0,0,0,5190,0,0,0.0,89.0,0.0,90.0
19198,4397888,13352325120,39735296,43689488384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19199,3296593,13356769280,39735296,43706265600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19200,3890066,13356769280,39735296,43706265600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19201,5644656,13356769280,39735296,43706265600,2553439,0,799520,0,0,0,0,0,0,0,0,4950,0,0,0.0,89.0,0.0,90.0
19202,4287240,13365682176,39735296,43739820032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19203,3017289,13365952512,39735296,43739820032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19204,6911021,13368557568,39735296,43756597248,3050030,0,797275,0,0,0,0,0,0,0,0,4919,0,0,0.0,89.0,0.0,90.0
19205,4319842,13370671104,18522112,43752161280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19206,3855782,13370671104,18522112,43752161280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19207,2914626,13370671104,18522112,43752161280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19208,6378593,13371437056,18522112,43768938496,2576112,0,799399,0,0,0,0,0,0,0,0,5059,0,0,0.0,89.0,0.0,90.0
19209,3714055,13380358144,18522112,43785715712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19210,3961469,13380882432,18522112,43785715712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19211,2340499,13380878336,18518016,43785711616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19212,6446910,13390307328,18518016,43819266048,2591560,0,795391,0,0,0,0,0,0,0,0,4759,0,0,0.0,89.0,0.0,90.0
19213,4740290,13399748608,18518016,43852820480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19214,3935841,13399748608,18518016,43852820480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19215,5431386,13399748608,18518016,43852820480,2597231,0,813145,0,0,0,0,0,0,0,0,5110,0,0,0.0,89.0,0.0,90.0
19216,4354336,13408473088,18518016,43852820480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19217,8863172,13432225792,39743488,43890823168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19218,4871977,13436690432,39743488,43907600384,3458306,0,769904,0,0,0,0,0,0,0,0,4028,0,0,0.0,89.0,0.0,90.0
19219,4284726,13456863232,39743488,43974709248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19220,2000491,13461057536,39743488,43991486464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19221,3746746,13461057536,39743488,43991486464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19222,3749301,13461057536,39743488,43991486464,2140364,0,775474,0,0,0,0,0,0,0,0,4058,0,0,0.0,89.0,0.0,90.0
19223,4100179,13469978624,39743488,44025040896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19224,2301386,13469982720,39739392,44025036800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19225,3695811,13469982720,39739392,44025036800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19226,2468860,13469978624,39735296,44025032704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19227,5958294,13478629376,39735296,44058587136,2159109,0,775755,0,0,0,0,0,0,0,0,3566,0,0,0.0,89.0,0.0,90.0
19228,4212069,13476282368,18518016,44054147072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19229,3760572,13476282368,18518016,44054147072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19230,1950558,13476282368,18518016,44054147072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19231,3651609,13476282368,18518016,44054147072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19232,4554061,13476282368,18518016,44054147072,2168006,0,770034,0,0,0,0,0,0,0,0,4148,0,0,0.0,89.0,0.0,90.0
19233,4003127,13489909760,18518016,44104478720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19234,2587463,13492543488,18518016,44121255936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19235,3877572,13494640640,18518016,44121255936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19236,3723764,13494640640,18518016,44121255936,2153779,0,768040,0,0,0,0,0,0,0,0,3978,0,0,0.0,89.0,0.0,90.0
19237,3996284,13500137472,18518016,44138033152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
