Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
197;201248;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
198;196108;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
199;193132;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200;1017999;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
201;212849;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
202;186169;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
203;182202;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
204;186280;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
205;184396;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
206;184726;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
207;184326;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
208;182182;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
209;182191;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
210;186650;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
211;5492912;503697408;10883072;432033792;5245257;1961419;778490;0;0;0;0;0;0;2996;0;0;0;9;0;0;
212;223289;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
213;188905;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
214;193282;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
215;186520;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
216;196569;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
217;192491;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
218;186229;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
219;191729;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
220;199845;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
221;183725;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
222;181671;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
223;182792;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
224;188684;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
225;193032;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
226;184025;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
227;184506;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
228;217728;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
229;198352;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
230;190628;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
231;181460;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
232;185749;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
233;189966;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
234;191990;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
235;183775;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
236;181661;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
237;199594;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
238;204654;503697408;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
239;211126;504098816;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
240;199625;504098816;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
241;203131;504098816;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
242;203050;504098816;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
243;200125;504098816;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
