Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
15397,18599221,20574400512,27803648,72374976512,14252999,0,1336427,123972,0,0,0,0,0,0,0,5872,0,0,0.0,267.0,0.0,60.0
15398,11923601,20584357888,27803648,72408530944,7006330,0,676468,66054,0,0,0,0,0,0,0,4308,0,0,0.0,267.0,0.0,60.0
15399,2667572,20593233920,27803648,72442085376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15400,15103003,20619796480,27803648,72525971456,11000670,0,690084,88706,0,0,0,0,0,0,0,5069,0,0,0.0,267.0,0.0,60.0
15401,13366417,20639236096,27803648,72593080320,8922112,0,686748,79208,0,0,0,0,0,0,0,4980,0,0,0.0,267.0,0.0,60.0
15402,2899678,20643926016,27803648,72609857536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15403,11456385,20658585600,27803648,72660189184,7366425,0,678423,74941,0,0,0,0,0,0,0,5170,0,0,0.0,267.0,0.0,60.0
15404,3421386,20671684608,27803648,72710520832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15405,3784057,20681068544,27803648,72744075264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15406,5065059,20685262848,27803648,72760852480,3372164,0,696356,75782,0,0,0,0,0,0,0,4308,0,0,0.0,267.0,0.0,60.0
15407,3750043,20693651456,27803648,72794406912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15408,4082887,20711456768,27803648,72861515776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15409,3848087,20711694336,27803648,72861515776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15410,2861327,20702797824,18894848,72852606976,1755352,0,651031,59432,0,0,0,0,0,0,0,2886,0,0,0.0,267.0,0.0,60.0
15411,3961019,20718469120,18894848,72919715840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15412,2154280,20729970688,18894848,72953270272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15413,3535671,20738359296,18894848,72986824704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15414,906640,20738359296,18894848,72986824704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15415,3452134,20738359296,18894848,72986824704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15416,3551570,20738363392,18890752,72986820608,1786811,0,643778,61926,0,0,0,0,0,0,0,3667,0,0,0.0,267.0,0.0,60.0
15417,3757977,20751908864,18890752,73053929472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15418,2831390,20765249536,18894848,73087488000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15419,3667798,20765249536,18894848,73087488000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15420,2936628,20765249536,18894848,73087488000,1960787,0,651813,59061,0,0,0,0,0,0,0,3516,0,0,0.0,267.0,0.0,60.0
15421,3819123,20786966528,18894848,73171374080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15422,2498796,20791390208,18894848,73188151296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15423,3645927,20809482240,18894848,73255260160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15424,1376391,20809752576,18894848,73255260160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15425,3797712,20810293248,18894848,73255260160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15426,3163262,20810293248,18890752,73255256064,2075993,0,647825,66575,0,0,0,0,0,0,0,3888,0,0,0.0,267.0,0.0,60.0
15427,3755533,20823879680,18890752,73305587712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15428,2497955,20833259520,18890752,73339142144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15429,1305599,20842164224,18890752,73372696576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15430,3948455,20843245568,18890752,73372696576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15431,877435,20843515904,18890752,73372696576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15432,6186101,20852891648,18890752,73406251008,2391384,0,644839,88115,0,0,0,0,0,0,0,3337,0,0,0.0,267.0,0.0,60.0
15433,5328152,20870426624,18894848,73473363968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15434,3183420,20870664192,18894848,73473363968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15435,949841,20870664192,18894848,73473363968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15436,3448568,20870664192,18894848,73473363968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15437,3824332,20870664192,18894848,73473363968,2128702,0,655649,57017,0,0,0,0,0,0,0,3988,0,0,0.0,267.0,0.0,60.0
15438,3776261,20884516864,18894848,73523695616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15439,2887796,20888956928,18894848,73540472832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15440,3744332,20889202688,18894848,73540472832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15441,3845461,20889202688,18894848,73540472832,2264526,0,683952,63338,0,0,0,0,0,0,0,5119,0,0,0.0,267.0,0.0,60.0
15442,3969535,20902027264,18894848,73590804480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15443,3747749,20910895104,18894848,73624358912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15444,1215099,20911419392,18894848,73624358912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15445,3611433,20911419392,18894848,73624358912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
